recog order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
93,411.0,571.0,6,60,699.0,450.0,659.0,760.0,312,312,312,117,5,1,88,82,93,2,53,6,1,101
94,588.0,588.0,6,-60,992.0,898.0,1058.0,394.0,509,509,509,120,5,1,89,83,94,2,81,6,1,42
95,1627.0,619.0,6,-60,1508.0,127.0,1142.0,477.0,506,506,506,113,5,1,86,88,95,2,68,7,3,151
96,764.0,166.0,6,-60,334.0,435.0,782.0,673.0,508,508,508,34,5,2,81,81,96,1,64,7,1,82
97,124.0,137.0,7,60,513.0,151.0,306.0,481.0,390,390,390,9,7,1,100,97,97,2,81,8,3,84
98,480.0,375.0,7,-60,562.0,949.0,1018.0,592.0,581,581,581,126,7,2,111,102,98,1,253,6,1,102
99,347.0,230.0,7,-60,249.0,956.0,927.0,679.0,734,734,734,100,7,1,106,107,99,2,64,8,2,102
100,1061.0,296.0,7,-60,1158.0,574.0,1350.0,352.0,295,295,295,56,7,2,98,99,100,2,63,6,1,129
101,588.0,646.0,7,60,703.0,121.0,1099.0,483.0,537,537,537,96,7,1,102,98,101,2,54,7,3,79
102,1587.0,349.0,7,60,1578.0,929.0,1080.0,631.0,581,581,581,89,7,1,99,111,102,2,187,8,1,71
103,1445.0,326.0,7,60,1166.0,942.0,771.0,392.0,678,678,678,24,7,1,101,112,103,2,56,8,1,73
104,1367.0,202.0,7,-60,766.0,160.0,1030.0,702.0,603,603,603,53,7,2,105,104,104,1,77,8,1,78
105,1337.0,276.0,7,-60,954.0,743.0,1550.0,842.0,605,605,605,86,7,1,103,103,105,2,58,7,1,72
106,141.0,338.0,7,-60,113.0,958.0,664.0,673.0,622,622,622,109,7,2,112,108,106,1,83,7,1,87
107,617.0,486.0,7,60,1057.0,292.0,1004.0,770.0,481,481,481,69,7,1,97,100,107,2,117,6,1,206
108,1541.0,365.0,7,60,1255.0,955.0,886.0,412.0,657,657,657,66,7,2,110,101,108,1,86,7,3,38
109,1665.0,603.0,7,60,1512.0,351.0,1806.0,344.0,295,295,295,31,7,1,108,109,109,2,53,8,2,64
110,631.0,645.0,7,60,606.0,164.0,1034.0,383.0,481,481,481,116,7,2,107,105,110,2,124,6,3,255
111,1178.0,768.0,7,-60,1542.0,628.0,1239.0,383.0,390,390,390,61,7,2,109,106,111,2,77,8,3,74
112,1570.0,812.0,7,60,814.0,838.0,1169.0,170.0,757,757,757,128,7,2,104,110,112,1,77,8,1,195
113,1144.0,841.0,8,60,1038.0,327.0,1536.0,492.0,525,525,525,88,6,1,121,116,113,2,80,7,1,75
114,1751.0,727.0,8,-60,1798.0,121.0,1250.0,384.0,608,608,608,27,6,1,127,123,114,2,65,7,1,64
115,1067.0,713.0,8,-60,790.0,277.0,551.0,736.0,517,517,517,112,6,1,123,127,115,2,77,6,2,82
116,219.0,780.0,8,60,166.0,128.0,757.0,408.0,655,655,655,33,6,2,126,122,116,1,63,7,1,83
117,1606.0,523.0,8,60,1344.0,952.0,1103.0,510.0,504,504,504,123,6,2,120,115,117,2,55,6,2,62
118,1687.0,120.0,8,60,1818.0,621.0,1318.0,484.0,519,519,519,76,6,1,116,117,118,1,81,8,3,65
119,542.0,442.0,8,60,266.0,362.0,473.0,163.0,288,288,288,25,6,1,114,124,119,2,77,6,3,84
120,1302.0,275.0,8,-60,780.0,238.0,1009.0,709.0,524,524,524,13,6,2,119,113,120,1,58,8,1,89
121,314.0,323.0,8,60,1081.0,122.0,871.0,887.0,793,793,793,93,6,2,122,125,121,1,59,6,1,71
122,523.0,199.0,8,-60,481.0,826.0,1045.0,550.0,630,630,630,91,6,2,117,120,122,1,75,7,1,118
123,1505.0,775.0,8,-60,1353.0,444.0,1143.0,742.0,364,364,364,65,6,1,118,126,123,2,68,6,2,81
124,671.0,655.0,8,-60,1286.0,791.0,1097.0,191.0,630,630,630,84,6,1,128,114,124,2,62,7,2,69
125,530.0,821.0,8,-60,1213.0,609.0,688.0,124.0,715,715,715,36,6,1,115,119,125,2,87,6,1,137
126,832.0,360.0,8,60,694.0,610.0,546.0,365.0,287,287,287,57,6,2,113,121,126,1,75,7,3,69
127,1268.0,554.0,8,-60,919.0,648.0,1175.0,904.0,363,363,363,54,6,2,124,128,127,2,105,8,1,90
128,1328.0,659.0,8,60,910.0,355.0,1382.0,145.0,517,517,517,42,6,2,125,118,128,1,76,7,1,70
