study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
116,1259,567,8,-60,932,699,981,350,352.6656,352.6656,352.6656,91,2,1,116,118,118,2,0.515127,1,3,0.6757036999999999
117,856,552,8,60,674,769,953,818,283.1342,283.1342,283.1342,86,2,2,117,113,114,1,0.4920807,2,1,0.512707
118,304,489,8,60,748,833,824,276,561.9333,561.9333,561.9333,44,2,2,118,114,127,1,0.27769740000000004,1,1,0.5794435
119,947,296,8,60,711,790,1257,748,548.0912,548.0912,548.0912,87,2,1,119,122,124,2,0.9455101,2,1,0.6596765
120,1399,781,8,60,1077,337,853,838,548.9672,548.9672,548.9672,75,2,2,120,116,115,1,0.3524663,3,1,0.41054129999999994
121,735,574,8,60,1012,625,918,360,281.5759,281.5759,281.5759,36,2,1,121,127,125,3,0.3489075,2,2,0.6803294
122,402,297,8,60,618,835,976,379,579.8276,579.8276,579.8276,27,2,1,122,123,128,1,0.3290772,3,2,1.258486
123,897,265,8,60,555,356,805,607,354.1582,354.1582,354.1582,10,2,2,123,115,121,1,0.2713062,3,1,0.7483695
124,740,768,8,-60,992,240,1323,722,584.8119,584.8119,584.8119,94,2,1,124,119,113,3,1.002536,1,1,0.46192440000000007
125,1671,809,8,60,1517,247,1107,661,583.0952,583.0952,583.0952,6,2,2,125,117,116,1,0.3900636,2,3,0.3926382
126,1142,243,8,-60,1354,641,903,626,451.4532,451.4532,451.4532,55,2,2,126,128,122,1,0.3471683,2,1,0.6195191999999999
127,803,751,8,-60,413,826,543,451,396.9887,396.9887,396.9887,38,2,2,127,125,119,1,0.3748823,3,1,2.886742
128,963,536,8,-60,642,834,544,407,438.4085,438.4085,438.4085,41,2,1,128,124,120,2,1.344267,2,3,0.6478871
