loc1x	loc1y	block	angle	loc3x	loc3y	loc2x	loc2y	loc1-loc2dist	loc1-loc3dist	loc2-loc3dist	picid	contextid	cond	study order	refresh order	recog order	same/diff	same/diff rt	recog button	recog loc	recog rt
258	-324	4	60	405	80	681	-249	430	430	430	51	6	2	61	62	61	1	61	6	1	29
-782	320	4	-60	-541	-416	-24	160	775	775	775	10	6	1	55	53	62	2	55	6	1	24
384	241	4	-60	-67	388	31	-77	476	476	476	30	6	2	49	49	63	1	78	8	1	25
-129	-260	4	-60	-359	103	-558	-278	430	430	430	93	6	1	64	51	64	2	74	8	1	259
859	-393	5	60	182	-338	568	221	680	680	680	20	4	1	68	71	65	2	56	8	1	39
-797	-159	5	-60	-196	-419	-271	231	655	655	655	98	4	2	66	75	66	1	63	6	1	31
345	284	5	60	136	-108	-100	269	446	446	446	74	4	2	75	76	67	1	45	8	1	31
-721	-252	5	60	-612	417	-88	-12	677	677	677	37	4	2	69	69	68	1	65	6	1	53
-86	136	5	-60	-235	368	-361	122	276	276	276	85	4	2	65	77	69	1	59	8	1	22
223	354	5	-60	447	47	601	394	381	381	381	125	4	2	76	74	70	1	57	6	1	19
3	-297	5	60	-125	62	249	-7	381	381	381	48	4	1	72	78	71	2	94	6	3	41
650	149	5	-60	567	-114	836	-55	277	277	277	53	4	1	80	73	72	2	50	7	1	27
