,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
78,1,1.0,310,2520.0,,EFIX,,225.18228171861125,1533.0,790.0,,449.3393595045954,1787.0,759.0,,304.85711407149415,1634.0,554.0,2032.0,1.0,2.0,2212.0,screen,ec107,8336.0,4,,1348.5,,660.9
79,1,1.0,24,2544.0,screen,ESACC,346.88586019035125,228.3820045450166,1533.0,790.0,574.1358724204575,451.0994790509073,1787.0,759.0,410.30768942343735,304.0952811209013,1634.0,554.0,2032.0,1.0,2.0,2522.0,screen,ec107,8336.0,4,1229.4,1347.7,622.2,656.5
80,1,1.0,188,2732.0,,EFIX,,370.8442934709931,1533.0,790.0,,595.4469665721709,1787.0,759.0,,424.9871645120591,1634.0,554.0,2032.0,1.0,2.0,2546.0,screen,ec107,8336.0,4,,1212.0,,604.3
81,1,1.0,42,2774.0,loc1end,ESACC,135.6041666026527,367.93306456473846,1533.0,790.0,151.88446266817417,591.0914819213689,1787.0,759.0,156.9582428545886,419.1099378444754,1634.0,554.0,2032.0,1.0,2.0,2734.0,screen,ec107,8336.0,4,1643.0,1217.5,710.7,600.7
82,1,1.0,350,3124.0,,EFIX,,156.6071518162565,1533.0,790.0,,115.44002772002435,1787.0,759.0,,177.68398914927596,1634.0,554.0,2032.0,1.0,2.0,2776.0,loc2start,ec107,8336.0,4,,1676.2,,726.6
83,1,1.0,26,3150.0,loc1end,ESACC,106.41057278297113,152.69793711769654,1533.0,790.0,263.51738083094256,118.64847238797472,1787.0,759.0,163.39036079279586,178.11080820657682,1634.0,554.0,2032.0,1.0,2.0,3126.0,loc2start,ec107,8336.0,4,1534.5,1672.5,683.6,727.9
84,1,1.0,180,3330.0,,EFIX,,104.34677762154425,1533.0,790.0,,275.3700237861775,1787.0,759.0,,173.72981897187358,1634.0,554.0,2032.0,1.0,2.0,3152.0,loc1start,ec107,8336.0,4,,1521.4,,686.3
85,1,1.0,40,3370.0,screen,ESACC,394.7985055696133,109.26467864776792,1533.0,790.0,618.5003314469606,284.54836144318233,1787.0,759.0,444.1200963703399,176.64419039413661,1634.0,554.0,2032.0,1.0,2.0,3332.0,loc1start,ec107,8336.0,4,1191.5,1512.9,591.9,682.6
86,1,1.0,212,3582.0,,EFIX,,402.68306395973497,1533.0,790.0,,626.3253547478339,1787.0,759.0,,451.02910105668354,1634.0,554.0,2032.0,1.0,2.0,3372.0,screen,ec107,8336.0,4,,1184.3,,588.6
87,1,1.0,46,3628.0,loc3end,ESACC,154.14571028737717,408.6326589982744,1533.0,790.0,152.27639344297583,630.8053978843237,1787.0,759.0,137.74069841553737,453.01131332451297,1634.0,554.0,2032.0,1.0,2.0,3584.0,screen,ec107,8336.0,4,1650.9,1181.8,690.7,581.1
88,1,1.0,154,3782.0,,EFIX,,165.2518683706783,1533.0,790.0,,122.00893409910606,1787.0,759.0,,159.41449118571376,1634.0,554.0,2032.0,1.0,2.0,3630.0,loc2start,ec107,8336.0,4,,1676.3,,707.7
89,1,1.0,22,3804.0,loc2end,ESACC,254.82827551117632,171.85578256200742,1533.0,790.0,24.65461417260472,113.06904969973003,1787.0,759.0,233.601476878893,164.15605380247172,1634.0,554.0,2032.0,1.0,2.0,3784.0,loc2start,ec107,8336.0,4,1781.8,1685.1,734.9,710.0
90,1,1.0,590,4394.0,,EFIX,,243.48151880584282,1533.0,790.0,,23.753947040439407,1787.0,759.0,,232.11042630610112,1634.0,554.0,2032.0,1.0,2.0,3806.0,loc2start,ec107,8336.0,4,,1771.5,,741.0
