786	226	53	-327	919	1768	1	6	-60	72	418	263	-297	740	740	740	10	5	2	85	93	88	1	65	
-159	265	327	-195	669	0	0	6	-60	-314	-385	327	-195	670	670	670	80	5	1	82	94	83	1	181	
-562	-374	187	-24	826	1628	1	6	60	-510	416	147	-24	791	791	791	114	5	2	95	95	87	1	53	
-590	-62	-10	273	669	1528	1	6	-60	-9	-396	-10	273	670	670	670	15	5	2	91	96	91	1	53	
-836	403	-654	59	389	0	0	7	60	-447	389	-654	59	390	390	390	9	7	1	100	97	97	2	81	
-372	-106	549	57	935	0	0	7	60	-257	419	139	57	537	537	537	96	7	1	102	98	101	2	54	
101	244	390	188	294	1168	1	7	-60	198	-34	390	188	295	295	295	56	7	2	98	99	100	2	63	
-343	54	44	-230	480	0	0	7	60	97	248	44	-230	481	481	481	69	7	1	97	100	107	2	117	
581	175	-94	128	677	1559	1	7	60	295	-415	-74	128	657	657	657	66	7	2	110	101	108	1	86	
-480	165	58	-52	580	1462	1	7	-60	-398	-409	58	-52	581	581	581	126	7	2	111	102	98	1	253	
377	264	590	-302	604	0	0	7	-60	-6	-203	590	-302	605	605	605	86	7	1	103	103	105	2	58	
407	338	70	-162	604	1476	1	7	-60	-194	380	70	-162	603	603	603	53	7	2	105	104	104	1	77	
-329	-105	74	157	480	1299	1	7	60	-354	376	74	157	481	481	481	116	7	2	107	105	110	2	124	
218	-228	279	157	389	1257	1	7	-60	582	-88	279	157	390	390	390	61	7	2	109	106	111	2	77	
-613	310	-3	-139	757	0	0	7	-60	-711	-416	-33	-139	734	734	734	100	7	1	106	107	99	2	64	
-819	202	54	-133	935	1790	1	7	-60	-847	-418	-296	-133	622	622	622	109	7	2	112	108	106	1	83	
705	-63	846	196	294	0	0	7	60	552	189	846	196	295	295	295	31	7	1	108	109	109	2	53	
610	-272	209	370	757	1624	1	7	60	-146	-298	209	370	757	757	757	128	7	2	104	110	112	1	77	
627	191	120	-91	580	0	0	7	60	618	-389	120	-91	581	581	581	89	7	1	99	111	102	2	187	
485	214	-189	148	677	0	0	7	60	206	-402	-189	148	678	678	678	24	7	1	101	112	103	2	56	
342	265	49	-169	524	1383	1	8	-60	-180	302	49	-169	524	524	524	13	6	2	119	113	120	1	58	
-289	-115	137	349	629	0	0	8	-60	326	-251	137	349	630	630	630	84	6	1	128	114	124	2	62	
646	17	-67	30	714	1568	1	8	60	384	-412	143	30	504	504	504	123	6	2	120	115	117	2	55	
184	-301	576	48	524	0	0	8	60	78	213	576	48	525	525	525	88	6	1	121	116	113	2	80	
727	420	148	-244	880	0	0	8	60	858	-81	358	56	519	519	519	76	6	1	116	117	118	1	81	
368	-119	422	395	516	1341	1	8	60	-50	185	422	395	517	517	517	42	6	2	125	118	128	1	76	
-430	-281	-272	416	714	0	0	8	-60	253	-69	-272	416	715	715	715	36	6	1	115	119	125	2	87	
-437	341	85	-10	629	1503	1	8	-60	-479	-286	85	-10	630	630	630	91	6	2	117	120	122	1	75	
-128	180	-414	175	287	1155	1	8	60	-266	-70	-414	175	287	287	287	57	6	2	113	121	126	1	75	
-741	-240	57	132	880	1731	1	8	60	-794	412	-203	132	655	655	655	33	6	2	126	122	116	1	63	
791	-187	20	156	843	0	0	8	-60	838	419	290	156	608	608	608	27	6	1	127	123	114	2	65	
-418	98	-487	377	287	0	0	8	60	-694	178	-487	377	288	288	288	25	6	1	114	124	119	2	77	
-646	217	-19	-347	843	1635	1	8	60	121	418	-89	-347	793	793	793	93	6	2	122	125	121	1	59	
545	-235	183	-202	363	0	0	8	-60	393	96	183	-202	364	364	364	65	6	1	118	126	123	2	68	
107	-173	-409	-196	516	0	0	8	-60	-170	263	-409	-196	517	517	517	112	6	1	123	127	115	2	77	
308	-14	215	-364	363	1246	1	8	-60	-41	-108	215	-364	363	363	363	54	6	2	124	128	127	2	105	
